id,name,host_id,host_name,city,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,review_scores_rating,accommodates,bathrooms,bedrooms,beds,property_type
33213426,Iconic Tower Apartment in Cape Town City Bowl,200091605,Alicja,Cape Town,Ward 77,-33.94247,18.42419,Entire home/apt,993,3,3,4/10/19,3,2,359,100,4,1.5,2,3,Apartment
33214143,La Selva - Bantry Bay Apartment 40m from the Beach,22026223,Sandra,Cape Town,Ward 54,-33.92434,18.37919,Entire home/apt,2000,3,3,4/8/19,3,1,48,100,3,1,1,1,Apartment
33214891,Manhattan 1008 - Two Bedroom Apartment,130248430,Charles,Cape Town,Ward 55,-33.88951,18.5117,Entire home/apt,1566,1,4,4/13/19,4,206,362,95,4,2,2,3,Serviced apartment
33219901,Stylish Studio Apartment with Sunny Balcony,224922097,Shanon-Lee,Cape Town,Ward 55,-33.88456,18.51602,Entire home/apt,643,3,0,,,2,85,,2,1,0,1,Apartment
33220101,Three Spruce,250119935,Lola,Cape Town,Ward 105,-33.81403,18.6635,Entire home/apt,1496,2,0,,,3,356,,4,2,2,3,House
33224971,BIG BAY - Spacious 2 bed condo just off the beach,44642787,Dayne,Cape Town,Ward 23,-33.79185,18.46136,Entire home/apt,783,10,0,,,1,164,,4,2,2,3,Condominium
33232093,Le Gaulois Luxury Flats - Apart 1 Sea Urchin,250228528,Shanaaz,Cape Town,Ward 100,-34.16513,18.86362,Entire home/apt,1105,2,0,,,4,361,,2,1,1,1,Apartment
33232536,Bantry Bay: Great Seaview and Balcony  - Room 1,15784419,Willem,Cape Town,Ward 54,-33.92701,18.38043,Private room,1189,2,0,,,3,66,,2,1,1,1,House
33233452,Le Gaulois Luxury Flats - Apart 3 L’Orchidee,250228528,Shanaaz,Cape Town,Ward 100,-34.16431,18.86367,Entire home/apt,951,2,1,3/25/19,1,4,363,,2,1,1,1,Apartment
33233951,Beach Escape,37644867,Shona,Cape Town,Ward 61,-34.13037,18.33809,Entire home/apt,1804,14,0,,,4,101,,4,2,2,3,House
33234562,Island Club - Luxury 2 Bedroom,42094564,Bradley,Cape Town,Ward 55,-33.89072,18.50752,Entire home/apt,1594,1,1,4/5/19,1,1,324,100,4,2,2,2,Apartment
33235787,Holiday rooms upper Fresnaye,246573486,Jirina,Cape Town,Ward 54,-33.92784,18.38991,Private room,1007,1,0,,,1,363,,4,1,2,2,House
33236685,Bantry Bay:  Great Seaview - Room 2,15784419,Willem,Cape Town,Ward 54,-33.9279,18.38038,Private room,783,2,0,,,3,66,,2,1,1,1,House
33237919,Louise overnight accommodation800m to Strand Beach,250224854,Louise,Cape Town,Ward 83,-34.10162,18.8246,Private room,545,2,0,,,1,76,,2,1,1,1,House
33238976,Spacious 1 Bedroom Apartment,250273540,Maret,Cape Town,Ward 109,-34.09505,18.81633,Entire home/apt,797,2,0,,,1,178,,2,1,1,1,Apartment
33241587,Grand 4 Bed Serviced Home W/Pool & Beach Views ♛,27980864,Totalstay,Cape Town,Ward 54,-33.95217,18.38317,Entire home/apt,9845,2,0,,,53,333,,8,3,4,4,Villa
33242073,Spacious bedroom in central garden paradise,22174549,Paul,Cape Town,Ward 77,-33.93653,18.41676,Private room,448,2,1,4/3/19,1,1,77,100,2,1,1,1,Apartment
33242805,Endless Oceanviews Villa,250302171,Shaun,Cape Town,Ward 115,-33.91062,18.40604,Entire home/apt,5468,3,0,,,1,329,,8,4.5,4,4,Villa
33244310,"Studio, smack bang in middle of Cape Town's buzz!",59672457,Susy,Cape Town,Ward 115,-33.92698,18.41247,Entire home/apt,755,4,0,,,2,19,,2,1,1,1,Apartment
33247887,Cozy apartment in the city centre,49731623,Lulu,Cape Town,Ward 115,-33.92865,18.41649,Private room,503,1,0,,,1,136,,2,1,1,1,Apartment
33251320,Endless Ocean View,149973096,Lucinda,Cape Town,Ward 23,-33.79755,18.46088,Entire home/apt,1776,3,1,4/2/19,1,6,269,100,8,1.5,3,4,Apartment
33255831,"Brand New Penthouse , with Waterfront Views",13407637,Greg,Cape Town,Ward 115,-33.92726,18.4456,Entire home/apt,1021,1,0,,,5,363,,4,1,2,2,Apartment
33257088,Wonderful and Relaxing Studio | 506 Granger,27980864,Totalstay,Cape Town,Ward 115,-33.89997,18.41366,Entire home/apt,1804,2,0,,,53,359,,2,1,1,1,Apartment
33258754,Central City Stunner/ Modern Apartment With Pool,14580843,Liam,Cape Town,Ward 115,-33.92601,18.44688,Entire home/apt,797,1,2,4/1/19,2,12,46,70,3,1,0,1,Apartment
33260791,Spacious Stylish Studio Biscuit Mill+ Mountain vws,63202371,Scott,Cape Town,Ward 115,-33.92547,18.45479,Entire home/apt,797,2,0,,,62,345,,2,1,0,1,Apartment
33261143,The Avenue One in the leafy pocket of Newlands,219034517,Deborah,Cape Town,Ward 59,-33.96863,18.46093,Private room,448,1,0,,,3,339,,2,1,1,1,Guest suite
33261241,"Exclusive Getaway with large pool,fantastic views!",238438010,Cape Town,Cape Town,Ward 74,-34.02638,18.35312,Entire home/apt,3496,3,0,,,8,240,,6,3,3,3,Villa
33261814,Tree lined charm in Rondebosch Simple 2BDR,63202371,Scott,Cape Town,Ward 59,-33.96322,18.47627,Entire home/apt,797,3,2,4/12/19,2,62,342,,4,1,2,2,Apartment
33262009,Shiloh Backpackers (place of peace ),44638237,Philip,Cape Town,Ward 57,-33.94234,18.46905,Shared room,168,1,1,4/8/19,1,4,303,80,8,1,1,8,House
33262446,Its the Corner house with great mountain views,246402246,Lynette,Cape Town,Ward 71,-34.05477,18.46263,Private room,294,1,6,4/12/19,6,1,351,97,2,1,1,1,House
33262817,Modern & Convenient. Top Floor Mountain Views.,250012331,Robert,Cape Town,Ward 115,-33.92725,18.44683,Entire home/apt,951,2,0,,,1,170,,4,1,2,2,Apartment
33263071,OCEAN VIEW APARTMENT IN CAPE TOWN SECURE BLOCK,250472126,Jimmy,Cape Town,Ward 115,-33.90074,18.4065,Entire home/apt,769,14,0,,,1,352,,2,1,1,1,Apartment
33264077,Stone beach house,26521060,Katrina,Cape Town,Ward 64,-34.12153,18.45513,Entire home/apt,3007,14,0,,,4,358,,7,4.5,4,7,House
33265562,Dreams Lodge,250490515,Ivo,Cape Town,Ward 2,-33.89749,18.62991,Private room,503,1,0,,,5,365,,4,5.5,12,1,House
33267408,Constitution on a curve,81510026,Sankie,Cape Town,Ward 107,-33.79665,18.49831,Private room,699,1,0,,,2,364,,2,1,2,2,House
33268465,Great loft with stunning views in Heritage Sq.,250518509,D. C.,Cape Town,Ward 115,-33.92149,18.41693,Entire home/apt,2503,4,0,,,1,27,,2,2,1,1,Loft
33268595,Constitution on a curve 2,81510026,Sankie,Blouberg ,Ward 113,-33.83481,18.49958,Private room,699,1,0,,,2,364,,2,1,2,2,House
33269646,Top spec house with views of False Bay to die for!,145623747,Jonathan,Cape Town,Ward 61,-34.19634,18.44306,Entire home/apt,2000,3,0,,,1,343,,8,4,3,4,House
33271407,Deluxe Double Bedroom with Bath - Three Spruce,250119935,Lola,Cape Town,Ward 105,-33.81396,18.66219,Private room,797,2,0,,,3,358,,2,1,1,1,House
33271923,Comfort Double Bedroom with Shower - Three Spruce,250119935,Lola,Cape Town,Ward 105,-33.81501,18.66273,Private room,797,2,0,,,3,358,,2,1,1,2,House
33272317,ELLIE'S COSY COTTAGE(female travellers only),236816778,Eleanor,Cape Town,Ward 81,-34.05863,18.60948,Private room,308,1,0,,,4,89,,1,1,1,1,House
33273591,Dreamy City Views In Stylish New Modern Apartment,29426065,Josh,Cape Town,Ward 115,-33.92645,18.44463,Entire home/apt,699,1,0,,,31,352,,3,1,0,1,Apartment
33273759,Stunning City Views In Modern City Apartment,29426065,Josh,Cape Town,Ward 115,-33.92717,18.44468,Entire home/apt,699,1,1,4/5/19,1,31,351,80,3,1,0,1,Apartment
33273920,Stunning City Views In Stylish Modern Apartment,29426065,Josh,Cape Town,Ward 115,-33.92654,18.44614,Entire home/apt,699,1,3,4/5/19,3,31,176,87,3,1,0,1,Apartment
33279229,Lovely room in a beautiful home near the river,102817497,Annamarie,Cape Town,Ward 84,-34.07894,18.87831,Private room,364,1,2,4/14/19,2,3,14,100,2,1.5,1,1,House
33281207,Tranquillity in a scenic secure estate near beach,120161369,Carina And Adrian,Cape Town,Ward 61,-34.13967,18.3586,Private room,503,1,0,,,1,365,,2,1,1,1,Other
33281647,Stylish Fresnaye Studio easy access to Beach+City,63202371,Scott,Cape Town,Ward 54,-33.91763,18.39364,Entire home/apt,895,2,0,,,62,342,,2,1,0,1,Condominium
33282520,Rizik Lodge Flat 1,235681178,Rayghana,Cape Town,Ward 44,-33.96864,18.54519,Entire home/apt,406,2,0,,,2,364,,4,1,2,4,Apartment
33285265,Beautiful home in Bohemian Surfing Village,68013335,Raelene,Cape Town,Ward 64,-34.10536,18.46993,Entire home/apt,1496,2,0,,,2,347,,7,2,2,5,House
33287765,The Vibe house,195934615,Ayrton,Cape Town,Ward 107,-33.80247,18.51546,Private room,294,1,0,,,1,176,,3,1,2,2,Townhouse
33289634,Apartment with private garden in Central Cape Town,25532983,Douw & Petro,Cape Town,Ward 77,-33.92868,18.40907,Entire home/apt,1259,5,0,,,4,358,,2,1,1,1,Apartment
33292375,ELLIE'S COSY COTTAGE (female travellers only),236816778,Eleanor,Cape Town,Ward 81,-34.05919,18.60964,Private room,308,1,0,,,4,89,,2,1,1,1,House
33295346,African holiday home in Table View,28973736,Lucie,Cape Town,Ward 113,-33.82789,18.49524,Entire home/apt,1706,3,0,,,1,191,,6,1.5,3,4,House
33300961,Stylish apartment in Cape Town centre,84077454,Louise,Cape Town,Ward 115,-33.92909,18.42173,Entire home/apt,1049,2,0,,,3,160,,4,2,2,2,Apartment
33301493,Surf House Cape Town -Beach holiday rental,5866082,Efi,Cape Town,Ward 61,-34.13428,18.33595,Entire home/apt,2000,2,0,,,2,145,,4,2.5,2,2,House
33303014,Great entertainment area,25422022,Nicky,Cape Town,Ward 23,-33.81335,18.47684,Entire home/apt,2000,10,0,,,1,33,,8,3.5,4,8,House
33306488,Charming Self Catering Guest Suite,25519793,Eugénie,Cape Town,Ward 4,-33.85128,18.51149,Entire home/apt,378,2,0,,,1,139,,2,1,0,1,Guest suite
33307132,"Light, Airy Penthouse Apartment, Spectacular Views",242632519,Ianette,Cape Town,Ward 115,-33.90309,18.39934,Entire home/apt,2559,3,0,,,3,183,,4,2,2,3,Apartment
33311320,Spacious family home accomodating all your needs.,103869080,Bronwyn,Cape Town,Ward 73,-34.02363,18.45969,Entire home/apt,2503,2,0,,,1,23,,7,3,4,4,House
33321189,International language students,44638237,Philip,Cape Town,Ward 57,-33.94206,18.46808,Shared room,168,2,0,,,4,364,,8,1,1,8,House
33322320,BEAUTIFUL CAPE TOWN -  ST. MARTINI GARDENS.,54012389,Ann,Cape Town,Ward 115,-33.92731,18.41448,Entire home/apt,825,124,0,,,1,365,,4,1.5,2,3,Condominium
33322434,Well of Love!Esoteric holistic massage! Vegan !,248149510,Lovewell,Cape Town,Ward 113,-33.81575,18.50377,Private room,573,1,0,,,1,365,,2,1,1,1,Tiny house
33323259,Gandhi House - Observatory,251029864,Alexandre,Cape Town,Ward 57,-33.93607,18.46455,Private room,294,4,1,3/30/19,1,1,358,,2,1,1,1,House
33324652,"Homey Beachfront Abode. 2 Pools, Parking & Wifi",2516345,Jaco,Kaapstad,Ward 55,-33.8925,18.48248,Entire home/apt,1147,3,0,,,63,293,,2,1,1,1,Apartment
33325994,Mitra Mews Bright 4 Bedroom Apartment #3,8721830,Dencel,Cape Town,Ward 57,-33.9392,18.46765,Entire home/apt,1049,1,0,,,6,347,,8,2,4,4,Serviced apartment
33326372,GREAT VALUE! GUEST SUITE THE SIZE OF AN APARTMENT,48648435,Tina,Cape Town,Ward 64,-34.08269,18.47714,Entire home/apt,420,4,0,,,2,38,,2,1,1,1,Guest suite
33326948,Pebbles on the Bay,48640754,Alex,Cape Town,Ward 23,-33.81252,18.47168,Entire home/apt,1105,5,0,,,2,75,,4,2,2,2,Apartment
33327128,Le Gaulois Luxury Flats - Apart 2 La Tortue,250228528,Shanaaz,Cape Town,Ward 100,-34.1634,18.8639,Entire home/apt,1105,2,0,,,4,362,,2,1,1,1,Apartment
33327325,Marina's Place,154279041,Melissa,Cape Town,Ward 23,-33.80014,18.47756,Entire home/apt,2000,3,0,,,23,335,,6,2,3,3,House
33328041,Perfect family home,50203002,Natalie,Cape Town,Ward 107,-33.82032,18.48828,Entire home/apt,1594,10,0,,,1,12,,4,2,3,3,House
33328594,The Avenue Two in leafy pocket of Newlands,219034517,Deborah,"Newlands, Cape Town",Ward 59,-33.97012,18.46104,Private room,448,1,0,,,3,339,,2,1,1,1,Guest suite
33328966,Close to Stellenbosch and surrounding area's.,199128737,Valerie,Cape Town,Ward 8,-33.89609,18.7084,Private room,853,1,0,,,1,364,,1,1,1,1,House
33329299,Exceptionally clean and well positioned.,3507876,Saville,Cape Town,Ward 70,-33.86787,18.63882,Entire home/apt,461,5,0,,,1,352,,2,1,1,1,Apartment
33329785,Le Gaulois - Apart 4 Le Palmier,250228528,Shanaaz,Cape Town,Ward 100,-34.16475,18.86237,Entire home/apt,951,2,0,,,4,363,,2,1,1,1,Apartment
33331047,The Gap House,30721097,Jessica,Cape Town,Ward 64,-34.13545,18.42838,Private room,350,1,0,,,1,179,,3,2,2,3,House
33331116,Kiewiet's Call to Calmness,60574269,Adri,Cape Town,Ward 23,-33.70051,18.44281,Entire home/apt,797,2,0,,,1,320,,2,1,0,1,Guest suite
33332999,Self catering bedroom on trendy Kloof street,2330092,Shana,Cape Town,Ward 115,-33.92747,18.41197,Entire home/apt,545,2,3,4/16/19,3,1,361,80,2,1,0,1,Apartment
33335159,Beach front diamond with breath taking sea views!,213881589,Karen,Cape Town,Ward 61,-34.12964,18.33956,Entire home/apt,5006,3,0,,,1,154,,6,2.5,3,3,Villa
33337379,Newlands Cape Dutch,25626817,Heather,Cape Town,Ward 59,-33.9723,18.4543,Entire home/apt,2503,5,0,,,7,212,,6,2,3,5,House
33339316,Cape Royale Hotel Private Apartment 2 Bedroom,35273745,Ross,Cape Town,Ward 115,-33.90848,18.41229,Entire home/apt,1007,2,2,4/12/19,2,2,89,100,4,2,2,2,Apartment
33340988,Bed in 9 bed mixed dorm,242498534,Kim,Cape Town,Ward 115,-33.91909,18.42029,Shared room,154,1,1,4/11/19,1,7,75,100,10,1,1,6,Hostel
33348522,HENIK BOUTIQUE GUESTHOUSE self catering,251225893,Fiston,Cape Town,Ward 23,-33.81084,18.47345,Entire home/apt,1496,1,0,,,6,179,,4,2,2,2,Apartment
33351818,BAKOVEN BAY LUXURY SUITES - Lions Head Suite,96119164,Suzanne,"Bakoven 	",Ward 54,-33.96321,18.37677,Private room,1384,1,0,,,3,295,,2,1.5,1,1,Guesthouse
33351820,BAKOVEN BAY LUXURY SUITES - Table Mountain Suite,96119164,Suzanne,"Bakoven 	",Ward 54,-33.96218,18.37661,Private room,1594,1,0,,,3,293,,2,1.5,1,1,Guesthouse
33352740,You have your home on weels,243125007,Ebrahim,Cape Town,Ward 64,-34.10594,18.47091,Entire home/apt,140,1,0,,,1,174,,4,1,2,4,Camper/RV
33352837,Safe and secure Apartment in Big Bay with Sea View,198967101,Ashley,Cape Town,Ward 23,-33.78816,18.45944,Entire home/apt,2196,5,0,,,1,0,,4,2,2,3,Apartment
